기업 이름,복지 카테고리,복지 혜택
'(주)잉카엔트웍스'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '명절 선물 및 귀향비 지원', '경조사 지원금', '통신비 지원', '자율 및 탄력 근무 제도', '재택 근무제도', '장기근속자 금전포상', '퇴직연금 및 퇴직금', '우리 사주 및 스톡옵션', '연차 수당', '장기근속 포상', '결혼/장례 등 경조사 휴가', '최고 성능 PC/노트북 지원', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '도서구입비 지원', '기타 자기계발비 지원']"
'(주)클래스팅'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '웰컴키트 지급', '경조사 지원금', '명절 선물 및 귀향비 지원', '선택적 복리후생', '야간 교통비 지원', '자율 및 탄력 근무 제도', '재택 근무제도', '퇴직연금 및 퇴직금', '우리 사주 및 스톡옵션', '청년 내일 채움 공제 지원', '생일 선물 지원', '리프레쉬/장기근속 휴가', '반차 및 시간제 연차 사용', '창립 기념일 휴무', '사내 동호회 지원', '아침/점심/저녁식사 지원 제공', '안마실 및 안마 의자 운영', '무료 간식 및 음료 제공', '애완 동물 친화', '최고 성능 PC/노트북 지원', '스탠딩 책상 지원', '업무용 소프트 웨어 제공', '도서구입비 지원', '기타 자기계발비 지원', '컨퍼런스 개최 및 지원']"
'(주)그립컴퍼니'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '연차/휴가', '근무환경', '교육/자기계발']","['체력단련비 지원', '건강검진 지원 (본인/배우자)', '통신비 지원', '명절 선물 및 귀향비 지원', '콘도 및 휴양시설 지원', '웰컴키트 지급', '통근버스 운행', '야간 교통비 지원', '자율 및 탄력 근무 제도', '주차장 및 주차비 지원', '재택 근무제도', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '아침/점심/저녁식사 지원 제공', '무료 간식 및 음료 제공', '구내 식당 및 카페테리아 운영', '안마실 및 안마 의자 운영', '업무용 소프트 웨어 제공', '최고 성능 PC/노트북 지원', '도서구입비 지원', '기타 자기계발비 지원', '어학 교육비 지원']"
'(주)매스프레소'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '체력단련비 지원', '상해/실손 보험 지원', '웰컴키트 지급', '명절 선물 및 귀향비 지원', '주택 지원 대출', '경조사 지원금', '자사 제품 직원 할인', '야간 교통비 지원', '자율 및 탄력 근무 제도', '재택 근무제도', '주차장 및 주차비 지원', '퇴직연금 및 퇴직금', '인센티브 및 성과급', '연차 수당', '생일 선물 지원', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '휴직 (유급/무급)', '병가 (유급/무급)', '리프레쉬/장기근속 휴가', '육아 휴직', '무료 간식 및 음료 제공', '아침/점심/저녁식사 지원 제공', '수면실 및 휴게실 운영', '안마실 및 안마 의자 운영', '스탠딩 책상 지원', '업무용 소프트 웨어 제공', '도서구입비 지원', '기타 자기계발비 지원', '어학 교육비 지원', '멘토링 제도 운영']"
,,
'(주)카카오스타일'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '상해/실손 보험 지원', '의료비 지원 (본인,가족)', '체력단련비 지원', '심리상담', '심리상담지원', '주택 지원 대출', '웰컴키트 지급', '명절 선물 및 귀향비 지원', '경조사 지원금', '자사 제품 직원 할인', '직원 대출 지원', '콘도 및 휴양시설 지원', '선택적 복리후생', '임신/출산 선물', '재택 근무제도', '자율 및 탄력 근무 제도', '야간 교통비 지원', '통근버스 운행', '주차장 및 주차비 지원', '유류비 지원', '주 4일 / 주 4.5일 근무', '절반 근무 및 문화 데이', '인센티브 및 성과급', '퇴직연금 및 퇴직금', '생일 선물 지원', '장기근속자 금전포상', '우리 사주 및 스톡옵션', '우수사원 금전포상', '야근 및 휴일 특근 수당', '연차 수당', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '리프레쉬/장기근속 휴가', '본인 출산 휴가', '병가 (유급/무급)', '보건 휴가', '창립 기념일 휴무', '배우자 출산 휴가', '휴직 (유급/무급)', '육아 휴직', '여름 휴가', '무료 간식 및 음료 제공', '최고 성능 PC/노트북 지원', '스탠딩 책상 지원', '업무용 소프트 웨어 제공', '아침/점심/저녁식사 지원 제공', '구내 식당 및 카페테리아 운영', '어린이집 지원/운영', '수면실 및 휴게실 운영', '도서구입비 지원', '자격증 취득 지원', '기타 자기계발비 지원', '멘토링 제도 운영', '컨퍼런스 개최 및 지원', '스터디 지원', '직무관련 교육, 컨퍼런스 지원']"
'(주)태성에스엔이'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '주택 지원 대출', '경조사 지원금', '통신비 지원', '명절 선물 및 귀향비 지원', '직원 대출 지원', '콘도 및 휴양시설 지원', '자율 및 탄력 근무 제도', '시차 출퇴근 제도', '인센티브 및 성과급', '청년 내일 채움 공제 지원', '퇴직연금 및 퇴직금', '생일 선물 지원', '반차 및 시간제 연차 사용', '최고 성능 PC/노트북 지원', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '컨퍼런스 개최 및 지원']"
'(주)헤렌'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '직원 대출 지원', '명절 선물 및 귀향비 지원', '자사 제품 직원 할인', '웰컴키트 지급', '야간 교통비 지원', '자율 및 탄력 근무 제도', '장기근속자 금전포상', '퇴직연금 및 퇴직금', '인센티브 및 성과급', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '리프레쉬/장기근속 휴가', '무료 간식 및 음료 제공', '최고 성능 PC/노트북 지원', '도서구입비 지원']"
,,
,,
'(주)모젯'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '명절 선물 및 귀향비 지원', '야간 교통비 지원', '반차 및 시간제 연차 사용', '애완 동물 친화', '최고 성능 PC/노트북 지원', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '도서구입비 지원']"
'(주)서울소프트'의 복지,"['교통/출퇴근', '급여/보상', '연차/휴가', '교육/자기계발']","['재택 근무제도', '우수사원 금전포상', '퇴직연금 및 퇴직금', '인센티브 및 성과급', '청년 내일 채움 공제 지원', '반차 및 시간제 연차 사용', '도서구입비 지원']"
'(주)스마일게이트엔터테인먼트'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '상해/실손 보험 지원', '의료비 지원 (본인,가족)', '체력단련비 지원', '직원 대출 지원', '웰컴키트 지급', '경조사 지원금', '명절 선물 및 귀향비 지원', '주택 지원 대출', '선택적 복리후생', '자사 제품 직원 할인', '복지카드', '통근버스 운행', '야간 교통비 지원', '자율 및 탄력 근무 제도', '주차장 및 주차비 지원', '우수사원 금전포상', '장기근속자 금전포상', '야근 및 휴일 특근 수당', '퇴직연금 및 퇴직금', '연차 수당', '생일 선물 지원', '반차 및 시간제 연차 사용', '보건 휴가', '결혼/장례 등 경조사 휴가', '본인 출산 휴가', '리프레쉬/장기근속 휴가', '창립 기념일 휴무', '구내 식당 및 카페테리아 운영', '수면실 및 휴게실 운영', '아침/점심/저녁식사 지원 제공', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '사내 동호회 지원', '최고 성능 PC/노트북 지원', '기타 자기계발비 지원', '멘토링 제도 운영', '도서구입비 지원', '어학 교육비 지원', '자격증 취득 지원', '컨퍼런스 개최 및 지원']"
'(주)스펙트라'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '일년 10만원 복지포인트', '명절 선물 및 귀향비 지원', '웰컴키트 지급', '야간 교통비 지원', '자율 및 탄력 근무 제도', '청년 내일 채움 공제 지원', '사내 동호회 지원', '도서구입비 지원']"
'델인터내셔널(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '상해/실손 보험 지원', '의료비 지원 (본인,가족)', '체력단련비 지원', '사내 병원', '명절 선물 및 귀향비 지원', '통신비 지원', '선택적 복리후생', '웰컴키트 지급', '경조사 지원금', '자사 제품 직원 할인', '자녀 학자금 지원', '재택 근무제도', '유류비 지원', '주차장 및 주차비 지원', '자율 및 탄력 근무 제도', '야간 교통비 지원', '퇴직연금 및 퇴직금', '인센티브 및 성과급', '우수사원 금전포상', '장기근속자 금전포상', '야근 및 휴일 특근 수당', '우리 사주 및 스톡옵션', '연차 수당', '생일 선물 지원', '반차 및 시간제 연차 사용', '병가 (유급/무급)', '여름 휴가', '결혼/장례 등 경조사 휴가', '배우자 출산 휴가', '휴직 (유급/무급)', '보건 휴가', '창립 기념일 휴무', '본인 출산 휴가', '육아 휴직', '최고 성능 PC/노트북 지원', '업무용 소프트 웨어 제공', '무료 간식 및 음료 제공', '사내 동호회 지원', '수면실 및 휴게실 운영', '스탠딩 책상 지원', '어학 교육비 지원', '기타 자기계발비 지원', '자격증 취득 지원', '대학원, 유학 지원', '본인 학자금 지원', '멘토링 제도 운영']"
,,
'한국지능정보사회진흥원'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '체력단련비 지원', '제휴병원 저렴하게 이용', '명절 선물 및 귀향비 지원', '콘도 및 휴양시설 지원', '직원 대출 지원', '사택/기숙사 운영 및 지원', '선택적 복리후생', '웰컴키트 지급', '복지카드 지급', '통근버스 운행', '자율 및 탄력 근무 제도', '재택 근무제도', '주차장 및 주차비 지원', '기숙사 및 사택 운영', '주 4일 / 주 4.5일 근무', '야근 및 휴일 특근 수당', '인센티브 및 성과급', '퇴직연금 및 퇴직금', '연차 수당', '생일 선물 지원', '우수사원 금전포상', '반차 및 시간제 연차 사용', '창립 기념일 휴무', '병가 (유급/무급)', '결혼/장례 등 경조사 휴가', '휴직 (유급/무급)', '육아 휴직', '본인 출산 휴가', '여름 휴가', '배우자 출산 휴가', '임산부 단축근무', '보건 휴가', '사내 동호회 지원', '수면실 및 휴게실 운영', '구내 식당 및 카페테리아 운영', '최고 성능 PC/노트북 지원', '안마실 및 안마 의자 운영', '업무용 소프트 웨어 제공', '어린이집 지원/운영', '아침/점심/저녁식사 지원 제공', '도서구입비 지원', '어학 교육비 지원', '대학원, 유학 지원', '기타 자기계발비 지원', '자격증 취득 지원', '컨퍼런스 개최 및 지원', '멘토링 제도 운영']"
'(주)네오위즈'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '상해/실손 보험 지원', '체력단련비 지원', '마사지', '명절 선물 및 귀향비 지원', '콘도 및 휴양시설 지원', '경조사 지원금', '직원 대출 지원', '웰컴키트 지급', '사택/기숙사 운영 및 지원', '주차장 및 주차비 지원', '자율 및 탄력 근무 제도', '야간 교통비 지원', '절반 근무 및 문화 데이', '재택 근무제도', '인센티브 및 성과급', '장기근속자 금전포상', '생일 선물 지원', '야근 및 휴일 특근 수당', '우리 사주 및 스톡옵션', '퇴직연금 및 퇴직금', '연차 수당', '청년 내일 채움 공제 지원', '반차 및 시간제 연차 사용', '창립 기념일 휴무', '결혼/장례 등 경조사 휴가', '리프레쉬/장기근속 휴가', '병가 (유급/무급)', '연차/반차', '구내 식당 및 카페테리아 운영', '수면실 및 휴게실 운영', '무료 간식 및 음료 제공', '사내 동호회 지원', '아침/점심/저녁식사 지원 제공', '안마실 및 안마 의자 운영', '최고 성능 PC/노트북 지원', '업무용 소프트 웨어 제공', '어린이집 지원/운영', '도서구입비 지원', '기타 자기계발비 지원', '컨퍼런스 개최 및 지원']"
